id,size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
1,562,14,InfServ,PC,Relatnl,GUI,Outsrced,1,No,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062
2,647,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871
3,130,5,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845
4,254,8,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330
5,1056,16,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,3,No,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272
6,383,12,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224
7,345,12,TransPro,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826
8,209,27,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320
9,366,24,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125
10,1181,54,TransPro,Mini,Sequential,TextUI,Outsrced,2,No,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900
11,181,13,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300
12,739,21,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150
13,108,7,CustServ,PC,None,TextUI,Inhouse,2,No,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900
14,48,10,CustServ,Network,None,TextUI,Inhouse,3,No,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583
15,249,19,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565
16,371,11,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047
17,211,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520
18,1849,32,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910
19,2482,38,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286
20,434,40,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052
21,292,29,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039
22,2954,14,CustServ,Multi,Relatnl,TextUI,Inhouse,4,No,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500
23,304,14,TransPro,Multi,Relatnl,TextUI,Inhouse,1,No,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369
24,353,28,TransPro,Network,Relatnl,TextUI,Outsrced,1,No,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184
25,567,16,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447
26,467,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,Yes,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5100
27,3368,45,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63694
28,253,4,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,Yes,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1651
29,196,10,ProdCont,Multi,Relatnl,TextUI,Inhouse,3,Yes,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1450
30,185,12,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,No,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1745
31,387,6,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1798
32,430,28,MIS,Mainfrm,Relatnl,TextUI,Inhouse,2,No,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2957
33,204,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,963
34,71,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1233
35,840,6,InfServ,Multi,Relatnl,GUI,Outsrced,3,No,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3240
36,1648,11,TransPro,Multi,Relatnl,GUI,Outsrced,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10000
37,1035,8,TransPro,Multi,Relatnl,GUI,Outsrced,4,No,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6800
38,548,22,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3850
39,2054,31,CustServ,Multi,Relatnl,TextUI,Inhouse,3,Yes,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,14000
40,302,26,MIS,Mainfrm,Relatnl,TextUI,Inhouse,2,No,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5787
41,1172,22,CustServ,Multi,Relatnl,TextUI,Inhouse,3,Yes,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9700
42,253,7,InfServ,Network,Relatnl,GUI,Inhouse,1,No,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1100
43,227,14,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5578
44,59,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1060
45,299,6,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5279
46,422,15,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8117
47,1058,9,TransPro,Network,Relatnl,TextUI,Outsrced,3,No,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8710
48,65,9,InfServ,Network,Other,TextUI,Inhouse,3,No,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,796
49,390,26,CustServ,Multi,Relatnl,TextUI,Inhouse,3,No,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11023
50,193,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1755
51,1526,28,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,5931
52,575,13,CustServ,Multi,Relatnl,TextUI,Inhouse,2,Yes,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4456
53,509,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3600
54,583,12,MIS,Mainfrm,Relatnl,TextUI,Inhouse,3,No,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4557
55,315,14,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8752
56,138,12,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3440
57,257,9,TransPro,Multi,Relatnl,TextUI,Inhouse,3,No,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1981
58,423,30,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13700
59,495,20,MIS,Network,Relatnl,TextUI,Outsrced,3,No,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7105
60,622,16,CustServ,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6816
61,204,12,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,Yes,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4620
62,616,15,CustServ,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7451
63,3634,33,CustServ,Multi,Relatnl,TextUI,Inhouse,3,No,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39479